date,trips,avg_dist,avg_fare,avg_dur,revenue
2022-06-25,111803,3.48,14.02,15.2,2286912.0
2022-06-26,85966,4.14,15.65,15.9,1941762.0
2022-06-27,98410,3.73,14.57,15.8,2124068.0
2022-06-28,107943,3.43,14.09,15.8,2258377.0
2022-06-29,110880,3.41,14.08,16.0,2319081.0
2022-06-30,107934,3.52,14.4,16.4,2299145.0
2022-07-01,95895,3.63,14.33,15.3,2023090.0
2022-07-02,82345,3.64,13.91,13.5,1664178.0
2022-07-03,70510,3.95,14.56,13.7,1480113.0
2022-07-04,60385,4.29,15.51,14.3,1346790.0
2022-07-05,89981,3.73,14.29,14.6,1898254.0
2022-07-06,98908,3.41,13.74,14.8,2015966.0
2022-07-07,103205,3.4,13.83,15.1,2116260.0
2022-07-08,98720,3.5,14.03,15.3,2051045.0
2022-07-09,89686,3.6,13.88,13.9,1816493.0
2022-07-10,79435,4.16,15.3,14.9,1758769.0
2022-07-11,92899,3.75,14.48,15.0,1988638.0
2022-07-12,107445,3.38,13.96,15.4,2231716.0
2022-07-13,112244,3.39,14.1,15.8,2354274.0
2022-07-14,112322,3.45,14.26,16.2,2373385.0
2022-07-15,105445,3.61,14.37,15.6,2242638.0
2022-07-16,100604,3.56,14.14,14.9,2071737.0
2022-07-17,85697,4.12,15.33,15.1,1901561.0
2022-07-18,91924,3.68,14.48,15.4,1967108.0
2022-07-19,108837,3.44,14.09,15.6,2278335.0
2022-07-20,112197,3.34,14.08,16.1,2345240.0
2022-07-21,110073,3.39,14.29,16.4,2330734.0
2022-07-22,103833,3.54,14.2,15.6,2170586.0
2022-07-23,97722,3.43,13.7,14.3,1953206.0
2022-07-24,85583,3.98,14.77,14.3,1837462.0
2022-07-25,90599,3.65,14.23,14.7,1911159.0
2022-07-26,104719,3.5,14.18,15.4,2199246.0
2022-07-27,109323,3.37,13.97,15.6,2269208.0
2022-07-28,110516,3.38,14.07,15.9,2306396.0
2022-07-29,104135,3.55,14.4,16.1,2215603.0
2022-07-30,96458,3.54,14.01,14.8,1966690.0
2022-07-31,82188,4.1,15.18,15.0,1804739.0
2022-08-01,87555,3.8,14.62,15.2,1885753.0
2022-08-02,103088,3.35,13.69,14.8,2099885.0
2022-08-03,105127,3.29,13.73,15.5,2144358.0
2022-08-04,107183,3.35,14.08,16.1,2231702.0
2022-08-05,102442,3.57,14.24,15.4,2156563.0
2022-08-06,99450,3.54,13.91,14.4,2015666.0
2022-08-07,81973,4.06,15.05,14.7,1786074.0
2022-08-08,92939,3.69,14.24,14.7,1959859.0
2022-08-09,106335,3.31,13.66,15.1,2162188.0
2022-08-10,82149,3.48,14.06,15.3,1714561.0
2022-08-11,108408,3.45,14.26,16.2,2283853.0
2022-08-12,102093,3.61,14.43,15.9,2170380.0
2022-08-13,95022,3.62,14.3,15.1,1970180.0
2022-08-14,80662,4.22,15.75,15.7,1827404.0
2022-08-15,88205,3.84,14.65,14.9,1903205.0
2022-08-16,99404,3.5,13.99,15.0,2061593.0
2022-08-17,101902,3.48,14.09,15.4,2126292.0
2022-08-18,103974,3.55,14.35,16.0,2204751.0
2022-08-19,99612,3.65,14.58,16.1,2134004.0
2022-08-20,94918,3.65,14.47,15.5,1982726.0
2022-08-21,81253,4.18,15.55,15.3,1814917.0
2022-08-22,87148,3.8,14.51,14.7,1861318.0
2022-08-23,100421,3.64,14.37,15.1,2130790.0
2022-08-24,103110,3.5,14.13,15.3,2155557.0
2022-08-25,104178,3.54,14.33,16.0,2204467.0
2022-08-26,100525,3.57,14.31,15.9,2124692.0
2022-08-27,97629,3.61,14.27,15.1,2019408.0
2022-08-28,82647,4.27,15.8,15.7,1876732.0
2022-08-29,87159,3.93,14.94,15.4,1910588.0
2022-08-30,100024,3.52,14.2,15.6,2093887.0
2022-08-31,100998,3.7,14.93,16.8,2209391.0
2022-09-01,102065,3.72,14.97,17.0,2240702.0
2022-09-02,98049,3.83,14.92,16.0,2150355.0
2022-09-03,92160,3.77,14.56,14.7,1935842.0
2022-09-04,83620,4.11,15.36,15.0,1842874.0
2022-09-05,76225,4.77,16.71,14.7,1833705.0
2022-09-06,95999,3.67,15.25,17.9,2143271.0
2022-09-07,112800,3.45,14.75,17.3,2444259.0
2022-09-08,117946,3.5,15.21,18.6,2618270.0
2022-09-09,117792,3.55,15.03,18.2,2595789.0
2022-09-10,109954,3.59,14.94,17.1,2368666.0
2022-09-11,94214,4.06,15.52,16.0,2119246.0
2022-09-12,104129,3.76,15.25,17.3,2337457.0
2022-09-13,114764,3.45,14.9,17.7,2517690.0
2022-09-14,116884,3.5,15.04,18.0,2587232.0
2022-09-15,120266,3.55,15.14,18.3,2678999.0
2022-09-16,117927,3.58,15.06,18.0,2609450.0
2022-09-17,54106,3.54,14.18,15.1,1114194.0
2022-09-18,1456,3.33,14.84,15.5,27659.0
2022-09-19,100011,3.77,15.64,18.1,2286163.0
2022-09-20,100448,3.68,16.09,19.6,2346326.0
2022-09-21,96868,3.77,16.87,21.3,2355881.0
2022-09-22,102317,3.66,15.91,19.3,2374704.0
2022-09-23,111496,3.68,15.38,18.4,2515721.0
2022-09-24,110109,3.48,14.4,16.1,2302345.0
2022-09-25,92128,4.03,15.28,15.3,2041387.0
2022-09-26,91809,3.95,14.91,14.6,2023162.0
2022-09-27,107923,3.56,14.16,14.9,2280991.0
2022-09-28,116565,3.4,14.51,16.9,2506739.0
2022-09-29,120273,3.46,14.96,17.9,2652948.0
2022-09-30,116680,3.55,14.82,17.3,2550073.0
2022-10-01,110632,3.39,13.87,14.9,2250285.0
2022-10-02,89059,4.05,15.51,15.8,1984400.0
2022-10-03,101277,3.47,14.28,16.2,2147568.0
2022-10-04,102772,3.3,14.04,16.1,2144962.0
2022-10-05,108726,3.37,13.64,14.4,2231557.0
2022-10-06,116220,3.52,15.35,19.0,2616497.0
2022-10-07,117116,3.56,15.16,18.3,2611978.0
2022-10-08,114887,3.46,14.56,16.6,2426516.0
2022-10-09,91814,4.18,16.22,16.9,2143498.0
2022-10-10,90155,4.22,15.76,15.4,2068842.0
2022-10-11,113334,3.58,14.75,16.4,2477623.0
2022-10-12,118271,3.46,14.82,17.7,2592261.0
2022-10-13,120731,3.43,14.93,18.0,2664606.0
2022-10-14,119652,3.58,15.01,17.8,2652795.0
2022-10-15,119226,3.47,14.56,16.5,2518305.0
2022-10-16,101851,4.1,15.55,15.5,2299740.0
2022-10-17,105582,3.76,14.83,15.7,2329729.0
2022-10-18,118033,3.5,14.64,16.5,2566640.0
2022-10-19,122496,3.43,14.82,17.5,2689331.0
